Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
245,Luiz Mauro Grohs,Brazil,Male,M35-39,04:27:24,101,98,22,00:30:23,160,143,27,02:19:26,146,139,33,01:33:33,112,101,25,00:2:07,135,111,25,00:1:54,157,132,34,FIN,04:14:01,92,92,
1551,Robson Ferreira Da Silva,Brazil,Male,M50-54,04:47:37,256,233,6,00:33:49,360,316,14,02:27:49,355,329,14,01:40:22,250,226,8,00:3:07,571,475,20,00:2:31,484,403,15,FIN,04:14:03,93,93,
516,FELIPE ROMAO BATISTA,Brazil,Male,M40-44,04:34:30,149,138,22,00:31:14,201,179,40,02:22:54,210,198,38,01:35:03,137,124,20,00:3:14,625,517,119,00:2:04,240,202,34,FIN,04:14:14,94,94,
1270,Fabio S Rangel De Oliveira,Brazil,Male,M30-34,04:23:30,80,78,11,00:39:03,787,667,108,02:11:37,57,57,11,01:28:58,67,65,11,00:2:16,182,151,24,00:1:35,59,52,10,FIN,04:14:24,95,95,
1638,Paulo Farina,Brazil,Male,M30-34,04:23:39,81,79,12,00:28:21,70,61,10,02:14:58,90,89,14,01:35:40,151,137,26,00:3:06,563,469,71,00:1:34,49,43,7,FIN,04:14:33,96,96,
803,LEONARDO GUIMARAES RODRIGUES,Brazil,Male,M45-49,04:43:34,213,193,25,00:33:46,357,313,43,02:26:12,301,281,44,01:39:26,226,204,28,00:2:13,158,132,14,00:1:58,188,158,19,FIN,04:14:35,97,97,
1488,Luiz Artur Gomes Junior,Brazil,Male,M50-54,04:48:16,263,240,7,00:29:45,126,111,5,02:25:52,293,274,11,01:48:23,431,373,13,00:2:19,200,168,4,00:1:57,181,152,3,FIN,04:14:37,98,98,
962,DANIEL LEVY,Brazil,Male,M45-49,04:44:07,217,196,26,00:34:09,385,337,48,02:22:34,203,191,28,01:42:49,308,272,39,00:2:15,172,143,17,00:2:21,382,322,38,FIN,04:15:04,99,99,
1590,Mauro Giorchino,Brazil,Male,M55-59,04:57:52,390,350,3,00:29:58,137,122,1,02:26:46,328,306,1,01:55:19,624,531,5,00:2:55,453,382,6,00:2:54,660,548,8,FIN,04:15:07,100,100,
1168,Deyvison Silva,Brazil,Male,M25-29,04:17:15,62,60,5,00:32:47,289,254,25,02:17:45,121,117,9,01:22:08,24,23,2,00:2:46,373,313,25,00:1:49,122,105,8,FIN,04:15:25,101,101,
911,WAGNER SIQUEIRA ROMAO,Brazil,Male,M45-49,04:44:48,228,206,27,00:30:54,186,167,18,02:33:09,522,474,81,01:36:23,167,152,19,00:2:34,293,244,33,00:1:49,121,104,9,FIN,04:15:41,102,102,
786,Nelson Souza Neto,Brazil,Male,M45-49,04:44:48,229,207,28,00:35:11,466,404,61,02:23:43,228,213,31,01:39:50,234,211,31,00:2:50,412,349,51,00:3:13,806,660,100,FIN,04:15:41,103,103,
156,Marcos Schneider,Brazil,Male,M35-39,04:29:12,111,107,23,00:29:48,129,114,21,02:20:58,180,172,44,01:34:54,135,122,31,00:1:57,88,72,13,00:1:35,61,53,10,FIN,04:15:44,104,104,
679,Andrei Achcar Albuquerque Maranhão,Brazil,Male,M40-44,04:36:29,162,151,23,00:30:53,185,166,36,02:27:22,346,321,69,01:34:17,125,113,18,00:2:17,184,153,27,00:1:41,87,76,11,FIN,04:16:04,105,105,
598,Rafael Andrade Nava Ferreira,Brazil,Male,M40-44,04:36:40,164,153,24,00:29:27,112,98,17,02:22:43,207,195,37,01:39:25,225,203,34,00:2:59,486,408,91,00:2:07,272,229,40,FIN,04:16:14,106,106,
1320,Rafael Santiago Pereira,Brazil,Male,M30-34,04:25:43,94,91,13,00:31:02,190,171,30,02:23:11,216,203,29,01:27:29,52,51,8,00:1:53,73,58,10,00:2:08,287,241,41,FIN,04:16:32,107,107,
839,Rodrigo Quirino De Melo Da Silva,Brazil,Male,M45-49,04:45:52,237,215,29,00:37:14,647,547,88,02:26:57,335,312,49,01:36:45,175,160,20,00:2:56,465,392,59,00:2:01,219,182,22,FIN,04:16:39,108,108,
842,Mateus Vidigal,Brazil,Male,M45-49,04:45:59,238,216,30,00:25:54,27,24,3,02:25:05,272,253,40,01:50:36,501,432,68,00:1:47,57,44,3,00:2:36,528,440,59,FIN,04:16:45,109,109,
227,Daniel Cordeiro,Brazil,Male,M35-39,04:30:23,116,111,24,00:27:44,54,50,5,02:24:40,258,239,62,01:33:43,115,104,26,00:2:38,323,268,64,00:1:38,69,60,13,FIN,04:16:51,110,110,
